auto	0
koira	0
vesi	0
kello	0
puhelin	0
ovi	0
hevonen	0
kamera	0
kissa	0
paperi	0
tuuli	0
lintu	0
juna	0
laiva	0
kitara	0
lammas	0
lehmä	0
hissi	0
kana	0
lento|kone	0
sika	0
nauru	0
rumpu	0
näppäimistö	0
mikroaalto|uuni	0
piano	0
itku	0
veitsi	0
saha	0
ukkonen	0
nuotio	0
vetoketju	0
viulu	0
helikopteri	0
ambulanssi	0
vasara	0
yskä	0
ovi|kello	0
haitari	0
oksennus	0
huilu	0
moottori|saha	0
urut	0
tuli|tikku	0
biljardi	0
trumpetti	0
vihellys	0
keilailu	0
pora|kone	0
haukotus	0
aivastus	0
röyhtäys	0